"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.539236665E-1,5.857353099E-4,5.840286613E-4,-3.422204754E-4
8.639016666E-1,-4.478526535E-4,4.249252379E-5,-4.754971305E-4
8.738796664E-1,9.007720510E-4,-8.563240990E-4,-2.368778805E-4
8.838576665E-1,-1.530527370E-4,-3.023575991E-4,1.217477111E-4
8.938356666E-1,9.542016778E-5,-3.114128485E-4,-3.640128707E-4
9.038136667E-1,4.684261512E-5,-6.502801552E-4,-7.287161425E-4
9.137916665E-1,-7.118920330E-4,1.755664125E-4,1.508871792E-3
9.237696666E-1,5.878973752E-5,8.788686246E-4,3.236355260E-4
9.337476667E-1,5.413545296E-4,-7.152995095E-4,1.521279773E-4
9.437256665E-1,4.499732750E-4,3.820192069E-4,-8.871394093E-4
9.537036666E-1,1.453186036E-3,1.329039223E-3,-2.663565683E-4
9.636816666E-1,-4.672077484E-4,-2.199821174E-4,1.114634433E-4
9.736596665E-1,6.015187828E-4,-9.747687727E-5,-7.335575647E-4
9.836376666E-1,-7.161038229E-4,5.245208740E-5,-9.018800920E-4
9.936156666E-1,6.527608493E-4,4.870798439E-4,-7.271767827E-4
1.003593666E0,-5.396117922E-4,7.525645196E-5,6.082043546E-5
1.013571667E0,1.229826594E-4,4.180055112E-4,6.561412738E-5
1.023549667E0,4.072880838E-4,1.186756417E-4,2.560393885E-3
1.033527666E0,-2.591431607E-3,3.487728536E-4,-5.152907688E-4
1.043505667E0,7.084032986E-4,2.299700864E-3,1.103101880E-3
1.053483667E0,-5.006719148E-4,9.034294635E-5,-1.622643555E-3
1.063461666E0,2.103154780E-3,-7.549822330E-4,-3.598965122E-6
1.073439667E0,2.248272067E-4,1.462099142E-3,1.072850777E-3
1.083417667E0,-3.624242963E-4,2.199439332E-4,-1.137657091E-3
1.093395666E0,-9.573745774E-4,-9.886920452E-6,-3.565519291E-4
1.103373667E0,-5.287260283E-4,7.771002129E-4,-9.020110592E-4
1.113351667E0,8.723630453E-4,8.655171841E-4,1.518017671E-4
1.123329666E0,-2.418034710E-4,-4.808232188E-5,-2.540443093E-4
1.133307667E0,-8.627492934E-5,9.290305898E-4,-3.816097160E-4
1.143285667E0,7.662168937E-4,1.384699717E-4,1.113347127E-3
1.153263667E0,-6.895046681E-5,-5.510225892E-4,4.036147147E-4
1.163241667E0,-7.370149251E-4,-5.670599639E-4,-2.465973957E-4
1.173218667E0,9.098839364E-4,-2.900911495E-4,1.755136327E-4
1.183196667E0,7.823681808E-4,-7.278015837E-4,-3.231092705E-4
1.193174666E0,4.393530544E-4,-7.371222600E-4,-2.983418817E-4
1.203152667E0,-6.178044714E-5,2.053100616E-5,-4.582825350E-4
1.213130667E0,7.502174121E-4,1.183000393E-3,3.928637598E-4
1.223108666E0,-3.864401951E-4,-8.179135621E-4,-3.688185825E-4
1.233086667E0,-3.190622665E-4,3.837049007E-4,3.699423396E-4
1.243064667E0,1.741861925E-3,1.074438915E-4,1.115561347E-3
1.253042666E0,1.051037922E-3,-1.380993053E-4,9.714843472E-4
1.263020667E0,-1.191762276E-3,-7.646856830E-4,-9.719347581E-4
1.272998667E0,-8.218490984E-4,-3.564227372E-4,1.564466220E-4
1.282976666E0,1.744892448E-3,8.628787473E-4,-3.175525053E-4
1.292954667E0,4.106487613E-4,-2.098428085E-4,2.081554849E-4
1.302932667E0,-1.385511132E-3,-2.062259242E-3,2.848928852E-4
1.312910666E0,-4.061474465E-5,-7.919315249E-4,5.773080047E-4
1.322888667E0,-3.507179208E-4,1.478407532E-3,1.411662088E-4
1.332866667E0,-3.975895233E-4,-7.858127356E-4,-6.780221593E-4
1.342844666E0,1.109421835E-3,3.628609702E-4,-3.983668867E-4
1.352822667E0,-9.798279498E-4,-8.797701448E-4,-9.022370214E-4
1.362800667E0,-5.052861525E-4,-1.022215933E-3,-1.797292934E-4
1.372778666E0,2.435946371E-4,-9.969165549E-4,3.198797349E-4
1.382756667E0,-1.099235378E-3,-1.517717727E-3,-2.980660065E-4
1.392734667E0,4.416697193E-4,-5.070473999E-4,1.370945247E-4
1.402712667E0,9.797140956E-5,6.082747132E-4,5.038836389E-4
1.412690667E0,-2.413152251E-4,-1.256204210E-3,1.434392063E-3
1.422668667E0,5.844109110E-4,-1.494297758E-4,-3.819480189E-4
1.432646667E0,-1.988247968E-4,-5.619535223E-4,4.329792573E-4
1.442624666E0,8.628398646E-4,-1.353122294E-3,1.864332153E-4
1.452602667E0,2.449864987E-4,1.136933453E-3,-2.029209281E-4
1.462580667E0,-1.100711874E-3,4.062335938E-5,-4.233504005E-4
1.472558666E0,-8.421189850E-4,-2.781953663E-5,-2.531743958E-4
1.482536667E0,1.137710642E-3,-4.034880549E-4,-1.309942221E-3
1.492514667E0,1.158749568E-3,-3.177337348E-4,-1.642503194E-4
1.502492666E0,-1.762978500E-4,2.981685102E-4,9.119694005E-4
1.512470667E0,4.341301974E-5,-1.686830074E-4,1.846601808E-4
1.522448667E0,-3.626982216E-4,8.298270404E-5,2.624548506E-4
1.532426666E0,-2.436548239E-4,-3.140941262E-4,-8.603338501E-4
1.542404667E0,-1.488583046E-3,1.936070621E-4,-5.783554516E-4
1.552382667E0,9.793683421E-4,4.780329764E-4,7.116798079E-4
1.562360666E0,-1.113084960E-3,-2.771141008E-4,1.306574995E-4
1.572337667E0,-4.283863818E-4,7.229298353E-5,-2.176839625E-4
1.582315667E0,-1.414213912E-3,-2.349335700E-4,-7.383433403E-4
1.592293666E0,1.402733615E-4,-7.993727922E-5,2.097420220E-4
1.602271667E0,8.833642933E-4,-6.933817640E-4,-1.805750420E-3
1.612249667E0,-6.506164791E-4,-1.265162602E-3,7.037462201E-4
1.622227667E0,-2.268530661E-4,-1.308793202E-3,3.172158322E-4
1.632205667E0,-6.681388477E-4,9.160116315E-4,1.292731729E-3
1.642183667E0,-2.884984715E-4,-1.494125463E-3,-4.411549889E-5
1.652161667E0,1.300077187E-3,-2.171397209E-4,-1.919513568E-3
1.662139666E0,6.013341481E-4,-5.041090772E-4,6.607058458E-4
1.672117667E0,-9.118739981E-4,2.953717485E-4,-2.346489055E-4
1.682095083E0,-4.514417378E-4,-9.821932763E-4,8.131671930E-4
1.692073083E0,-4.077658523E-4,-4.687355831E-4,-8.020399837E-4
1.702051083E0,1.165114809E-3,3.195470199E-4,-4.600018437E-4
1.712029083E0,5.537562538E-5,5.078325048E-4,9.458808927E-4
1.722007083E0,6.453925744E-5,-9.840996936E-4,1.078386558E-4
1.731985083E0,-8.385385154E-4,-3.049941733E-4,-3.848461492E-4
1.741963083E0,-1.011561370E-3,9.226854891E-4,2.027688606E-5
1.751941083E0,7.775502163E-4,-2.080928534E-4,-4.399173486E-4
1.761919083E0,-3.987899981E-4,-2.049235627E-4,-1.251930080E-4
1.771897083E0,-7.055861643E-4,-1.071859151E-4,-5.683429772E-4
1.781875083E0,4.802147159E-4,-7.779318839E-4,-5.084866425E-4
1.791853083E0,1.747501083E-4,-2.993615344E-4,-7.020984194E-4
1.801831083E0,-6.852562074E-4,-1.371983439E-3,1.021956559E-3
1.811809083E0,-1.272216905E-3,3.697238863E-4,1.006243983E-3
1.821787083E0,-5.720594199E-4,-1.415545121E-4,7.216064841E-4
1.831765083E0,-3.640665673E-4,3.543263301E-4,1.560250530E-5
1.841743083E0,-3.680462250E-4,-5.953870714E-4,-3.371174971E-4
1.851721083E0,-2.774988534E-4,-4.345318303E-4,5.507803871E-4
1.861699083E0,6.812394131E-4,-7.270900533E-4,1.725717098E-3
1.871677083E0,3.201147774E-4,-1.816740260E-4,2.338142367E-4
1.881655083E0,1.265152707E-3,-7.972847670E-4,-3.444397880E-4
1.891633083E0,1.894724090E-3,-3.455579281E-5,-1.192390220E-3
1.901611083E0,-1.212425996E-3,-2.287728712E-4,-1.643280732E-3
1.911589083E0,-7.687434554E-4,5.363533273E-4,4.523607204E-4
1.921567083E0,-5.146575859E-4,-7.369853556E-4,1.174595556E-3
1.931545083E0,-4.061497748E-5,-1.128735952E-3,3.458198044E-4
1.941523083E0,6.538192974E-4,-6.462950259E-4,1.200008322E-3
1.951501083E0,-5.898770178E-4,-1.487587579E-3,3.491283860E-4
1.961479083E0,-1.402912894E-4,-9.515313432E-4,8.064180292E-5
1.971457083E0,8.666499634E-4,1.242913306E-3,-1.431767363E-3
1.981434083E0,-1.470282441E-4,-2.828398719E-4,1.988304313E-3
1.991412083E0,-3.291884204E-4,-2.102045342E-3,-3.568754182E-4
2.001390083E0,-1.120580011E-3,7.163602859E-4,8.308998076E-6
2.011368083E0,5.367050762E-4,4.266081378E-4,-9.096825961E-4
2.021346083E0,1.659374917E-3,-9.547844529E-4,-7.459836779E-4
2.031324083E0,-8.264196804E-4,-1.570241526E-3,3.760060645E-4
2.041302083E0,-1.421738649E-3,2.288185060E-4,1.659228932E-3
2.051280083E0,-3.178584157E-4,-5.978262052E-4,2.229862148E-4
2.061258083E0,-1.782970503E-5,2.787904814E-4,-8.452230250E-4
2.071236083E0,3.132012207E-4,4.279268906E-4,-9.789429896E-6
2.081214083E0,-1.099045388E-3,1.696348190E-4,1.271553920E-3
2.091192083E0,-2.233979758E-4,-4.082703963E-4,2.072899137E-3
2.101170083E0,-7.169267628E-4,-1.197559759E-4,5.099274567E-4
