"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.125436665E-1,1.242416382E-1,1.157093811E-1,9.825717316E0
9.225216666E-1,1.260379028E-1,1.187031555E-1,9.849517822E0
9.324996665E-1,1.293310547E-1,1.275347900E-1,9.834399261E0
9.424776665E-1,1.294807434E-1,1.200503540E-1,9.813143463E0
9.524556666E-1,1.431024170E-1,1.056802368E-1,9.811496887E0
9.624336665E-1,1.380130005E-1,1.112187195E-1,9.838889923E0
9.724116665E-1,1.258882141E-1,1.269360352E-1,9.837542725E0
9.823896666E-1,1.243913269E-1,1.272354126E-1,9.840087433E0
9.923676664E-1,1.216969299E-1,1.210981750E-1,9.821825409E0
1.002345667E0,1.281335449E-1,1.384620667E-1,9.825268250E0
1.012323667E0,1.225950623E-1,1.188528442E-1,9.828711090E0
1.022301666E0,1.300794983E-1,1.207987976E-1,9.832902374E0
1.032279667E0,1.246907043E-1,1.146615601E-1,9.841434631E0
1.042257667E0,1.357676697E-1,1.305285645E-1,9.828711090E0
1.052235667E0,1.284329224E-1,1.137634277E-1,9.836943970E0
1.062213667E0,1.359173584E-1,1.278341675E-1,9.823022919E0
1.072191667E0,1.345701599E-1,1.131646729E-1,9.825717316E0
1.082169667E0,1.356179810E-1,1.053808594E-1,9.829908600E0
1.092147666E0,1.237925720E-1,1.207987976E-1,9.830956421E0
1.102125667E0,1.257385254E-1,1.196012878E-1,9.819430389E0
1.112103667E0,1.320254517E-1,1.249900818E-1,9.808353424E0
1.122081666E0,1.365161133E-1,1.166075134E-1,9.813592529E0
1.132059667E0,1.423539734E-1,1.212478638E-1,9.834099884E0
1.142037667E0,1.342707825E-1,1.181044006E-1,9.830956421E0
1.152015666E0,1.335223389E-1,1.251397705E-1,9.830507355E0
1.161993667E0,1.377136230E-1,1.273851013E-1,9.833800507E0
1.171970667E0,1.342707825E-1,1.212478638E-1,9.838590546E0
1.181948666E0,1.196012878E-1,1.273851013E-1,9.822424164E0
1.191926667E0,1.323248291E-1,1.212478638E-1,9.827214203E0
1.201904667E0,1.302291870E-1,1.178050232E-1,9.831555176E0
1.211882666E0,1.297801208E-1,1.284329224E-1,9.836494904E0
1.221860667E0,1.317260742E-1,1.182540894E-1,9.824669495E0
1.231838667E0,1.387614441E-1,1.245410156E-1,9.816286926E0
1.241816666E0,1.348695374E-1,1.248403931E-1,9.831405487E0
1.251794667E0,1.240919495E-1,1.275347900E-1,9.837991791E0
1.261772667E0,1.366658020E-1,1.234931946E-1,9.824669495E0
1.271750667E0,1.348695374E-1,1.273851013E-1,9.817933502E0
1.281728667E0,1.405577087E-1,1.137634277E-1,9.833650818E0
1.291706667E0,1.279838562E-1,1.166075134E-1,9.826166382E0
1.301684667E0,1.383123779E-1,1.037342834E-1,9.825417938E0
1.311662666E0,1.287322998E-1,1.187031555E-1,9.820478210E0
1.321640667E0,1.291813660E-1,1.170565796E-1,9.821526031E0
1.331618667E0,1.345701599E-1,1.137634277E-1,9.833501129E0
1.341596666E0,1.326242065E-1,1.210981750E-1,9.823022919E0
1.351574667E0,1.221459961E-1,1.261875916E-1,9.827663269E0
1.361552667E0,1.089733887E-1,1.305285645E-1,9.829010468E0
1.371530666E0,1.311273193E-1,1.215472412E-1,9.830357666E0
1.381508667E0,1.374142456E-1,1.323248291E-1,9.831255798E0
1.391486667E0,1.377136230E-1,1.296304321E-1,9.827513580E0
1.401464666E0,1.314266968E-1,1.109193420E-1,9.822424164E0
1.411442667E0,1.128652954E-1,1.118174744E-1,9.834249573E0
1.421420667E0,1.182540894E-1,1.158590698E-1,9.829908600E0
1.431398666E0,1.224453735E-1,1.178050232E-1,9.808952179E0
1.441376667E0,1.275347900E-1,1.290316772E-1,9.820478210E0
1.451354667E0,1.236428833E-1,1.142124939E-1,9.826316071E0
1.461332666E0,1.305285645E-1,1.095721436E-1,9.839189301E0
1.471310667E0,1.315763855E-1,1.251397705E-1,9.840386810E0
1.481288667E0,1.432521057E-1,1.300794983E-1,9.814640350E0
